ID,Parent,Dependent
0f675d13-328e-4535-81e9-63cbdaddc178,False,Var1
3014d0f1-8129-42de-83d2-4710df6e17bc,True,Control
b2d97d2d-8835-46be-aab3-ecebf4da2d6a,False,Var1
44eb266a-4985-4e92-b01d-61369ac62292,False,Var2
c45052d6-2207-4d52-9f39-b5c167301ae8,True,Control
621ab144-30b5-473f-bc69-233522a3575b,True,Control
f19cf986-4b16-42db-aaae-2ec6131316f6,True,Control
274dbaf7-b944-453f-a54e-4c07770ab030,True,Control
fa4308e3-f81f-4527-8fb8-87d298af4cb1,True,Control
fe9dbc81-e4a6-4218-b444-be64b11fab51,False,Var1
1fbc5303-3753-41a3-b913-c4900fd8d778,False,Var1
d73a8c7d-0133-4ba8-95e3-da0374793909,True,Control
3fd5e38a-76e0-4755-ae60-22fdf73ac8b6,False,Var1
887b3003-49e4-4436-b91f-c91719e0b846,False,Var1
22c532ee-8238-41cf-9046-a0c8fd326c75,True,Control
d669f0c5-db9f-4908-8bdb-7e2e3c0f5282,True,Control
b02de8c4-9794-4658-9b2a-722b7c4a73a5,True,Control
b52bba14-9f01-4ed5-bd32-f88874b6091a,True,Control
49f89e66-1851-4ae8-8f7e-4af2bc39368f,False,Var1
db03bb56-9d66-46de-a652-74a37e5067bd,True,Control
a00e1554-1adb-473f-becc-47af0247944d,True,Control
bc564fcd-921d-45be-8b35-c46c9bc1d7a0,False,Var1
affc6542-73ec-4c48-9be7-0f9dd495a914,True,Control
74f69d28-98f8-4833-85dd-f511ee5d13bf,True,Control
73df0ead-595b-4bf4-be17-be7934788b0c,False,Var1
ebcd3cc2-d9ce-4bb9-9b2b-c055df2ac5c1,False,Var2
962d7b07-58cd-4845-8a97-e31a9e49aee6,True,Control
fc3d1fd2-0dfe-4d58-a260-a1daa8062b37,False,Var2
0bc2eb11-cf1d-4eb9-b1f9-1e3b08e18c9d,True,Control
baa1cae5-0d44-47fd-87e6-0f0e8bfca266,True,Control
867cf33d-b64c-498a-9e38-d7c8d30882f8,True,Control
42f80497-897a-4eae-a1da-dc993c192533,False,Var1
66ff129a-13c1-42e8-95be-ed0b21eda93f,True,Control
ab781197-009b-474f-910f-e4f31b3e4c4f,True,Control
5c11c53d-936d-45ed-ad17-4e025de593f2,True,Control
4a13c48f-a586-4db1-b3f6-f5d6f6be89c4,False,Var1
734fe261-f452-4dd5-afef-98c3c32f001c,False,Var1
4d601f45-6c00-4091-b00e-392b59e36d4b,True,Control
bd9169ea-6cf8-4e61-a77a-29a9bbf58a29,True,Control
1bea15bc-8a81-4f77-92bd-7648c1999eaa,False,Var2
4535ddb6-2252-41df-b83e-bda6d43072fc,False,Var2
063e06c7-7095-410e-9a51-6716e0d57cc5,True,Control
35b025d0-794e-45dc-a655-5fea6203ae46,False,Var1
d56688e6-9747-46c0-9fbd-38a191fa8dad,True,Control
a2ee57f4-4405-49bd-bb1b-cd9c490c7d37,False,Var2
09ace7c0-2837-4c27-8245-0bea1739a48b,True,Control
fc2a628b-8bf2-4850-a22a-934f94d09bc0,True,Control
5c4d3d5d-d83e-4e1b-a660-1f578bec3310,True,Control
d91dd577-0a76-4f80-ab43-468a7d8b66bf,False,Var2
7b24bdc7-ccab-4c4b-bd74-0384845a21fb,False,Var2
ce8c5b1d-0a29-4278-ad91-e9b4a303ec8d,False,Var1
697d7169-af4a-4221-8507-def6f8b01626,False,Var2
00883680-9060-413f-bac5-9a5ab1b0715d,False,Var1
f25da2c3-4249-41f2-90cb-2ae8f96b72b0,True,Control
00cfdc30-a634-42f7-a5d3-9d2d77e20d07,True,Control
2176da5e-8eb8-4230-8375-01325089685f,False,Var2
17894174-45ab-4279-84aa-dd923ce65439,True,Control
cf01acbb-44df-4943-8dc7-5e15697b6f42,False,Var2
81abeb7f-1c31-4e45-8d0e-f37910ea58cd,False,Var2
b1c33067-8840-43c4-8d29-50b902c7786b,False,Var2
e2d068e7-83e9-45ee-9d6f-1956c8139e87,False,Var2
28667a20-e40e-4983-acf3-8528b9a9666b,False,Var2
0d04a1f3-6156-4530-9a32-02b827c27c1b,True,Control
f05908ad-231d-4e84-b8be-4198d830f771,True,Control
fb86821b-931e-4878-b336-78696abe5cbd,False,Var2
c7690d3e-6c4a-4103-996d-ab5183a4b870,True,Control
c5b8e338-98f2-4a09-8339-e774494e306c,False,Var1
f63304d3-46a1-4171-a3db-7457214297e5,True,Control
01d88f71-2c96-4f27-9685-bf61c09f4b98,True,Control
6ad60896-b38f-451d-85d5-109eec0f71fe,False,Var2
f19ce187-98f2-445b-8c68-a0986c034ab8,True,Control
b6a2dd08-8e5f-44e3-b377-020ff41a80e3,False,Var2
56bc2ec8-e860-4a2a-acb3-1a4602591817,False,Var1
503cdaa6-65ef-4a90-9b4b-3c672f6a66be,False,Var2
39b405e5-caed-4a04-9098-d19e0b8c1b1e,True,Control
3d131e11-b1d5-417e-97b3-39f4a2c5dbe3,True,Control
09bcf34c-1b46-4677-bbc8-930ddfcc91ba,True,Control
7a731701-fb26-45bd-9c65-3d213ca2fe5d,True,Control
dae85b3a-1b2a-45ab-8f77-02e39b36e2f0,False,Var2
94129615-6785-4301-9765-a6f6da08526f,False,Var1
9a396085-1024-49e8-a986-13bcc8522ea8,False,Var1
bf72e104-82bc-446e-a4b4-65650b4c65e3,True,Control
c747f9c7-fb9a-45a6-866b-14c8cc588ec5,True,Control
2d4124a4-c2d7-4034-99b2-718574b64e1b,False,Var2
5f2ded3b-a2fc-4c15-bcc1-838da5901500,True,Control
b889c8c9-1ba6-4ebd-8174-a28901526083,True,Control
14ae18f0-f306-4830-8009-ac7d2eb5182f,False,Var1
b7343134-f0a6-4d63-bb93-fc54127394c4,True,Control
fbf51545-f1bc-4a63-b7b5-828e4cf98052,True,Control
d2f79559-8ce9-4408-99c9-5893c2ce2d89,True,Control
b3ab27cd-b54c-4926-8ccc-488fc152aece,False,Var1
094029ff-e554-4a8e-a01b-d10caa566325,False,Var1
ace38a31-90db-4a0e-9732-8e742a9f7db6,True,Control
53bddbfa-5f9b-4d9f-8235-7d1b9b1d7a75,True,Control
7c189614-c65d-49fc-8348-f709db56e263,True,Control
e15903dd-47ba-4721-92cc-99f542627267,False,Var1
0f98dc31-36a2-4374-b5fc-5003b2bcf07f,True,Control
bbf985ee-6447-4d1d-b844-afc30d169d36,True,Control
8e1b15e2-97e8-4fd6-9f11-9239abbc5871,False,Var1
3e0588cc-656e-471b-849d-c20bb4fef2e3,True,Control
5500ae28-defc-41b7-a944-2e73e825021e,False,Var1
8c263d85-7fa8-4a6f-bc19-880edaee4bff,False,Var1
2a5e4440-f1e8-45b7-96c1-7d602e6b7e6f,True,Control
f32b006a-c4d5-4870-aa1d-c3189089532d,True,Control
71667a61-4159-4301-863f-768d71c93432,False,Var1
de04be8e-bfe5-420a-9de5-69bf0f30f3a4,False,Var1
449b0783-5777-46d9-becc-68e189985916,False,Var2
bec8c471-c855-47a5-adf4-327e1b5f082c,True,Control
92cc7a2f-af60-46b5-8527-ab77e785cd7f,False,Var2
b38adcab-cb55-4564-b2dc-aa3c6fc09c9e,False,Var2
3ff03024-a141-4866-bf74-532cd7c05f98,False,Var2
794e55e7-1210-4f9f-87b5-d61609eb1a25,False,Var2
e44d89f1-5519-45c3-bc86-3e1de3650c62,False,Var1
dfc129dd-fdc5-4ed6-a05b-e9aded6c21e7,False,Var1
b9f43841-eeee-4d96-9688-a94db6924188,False,Var2
52e69471-7dbe-4dcd-bf90-1383323065ef,False,Var2
dc532171-876a-4815-87fc-6090a40a2bb8,True,Control
f66b9bfb-092c-4646-bc13-f58732515930,False,Var2
fc4ee4a6-5912-47a2-8200-e4039190f463,False,Var1
f9715778-7ba8-4556-97bd-4d5a84315476,True,Control
3ab5063d-5e2c-4f18-bf97-f5a057b5e93d,True,Control
77736aa8-30c4-475b-9f9b-28b7c58cabac,False,Var2
2e94e981-2036-40ed-996f-df85e8be42f0,True,Control
5743e459-d357-4838-9e6d-498976ecfda2,False,Var2
3068908a-66df-478b-8578-df3ed123f840,False,Var2
3829c05f-5ce9-4d2f-b8e2-8be771b9ec35,True,Control
f89b45fe-d3a9-4abd-8cd7-60b27f775242,False,Var2
b8bc31d8-1975-4b2b-962e-fa19ce1ba5fa,False,Var1
7f748763-ff60-47a8-922d-fbde5c28c910,False,Var1
2f5a3a5a-0438-4253-b69b-9487c5ae704b,True,Control
22c07e78-f77f-4ea5-a54e-d4c28ae53cbb,False,Var1
7c7785d0-9637-42d1-baf7-78bbecfee775,True,Control
97385121-3573-48b7-912d-7bebb8b9290b,False,Var1
64b6cc66-39f7-4bb7-b984-d0d22a88e5fe,False,Var1
26c6cb60-f5bf-4cb7-92fe-04319991f259,False,Var1
42d59bcd-831a-4b3e-84d5-0f1a67c48286,False,Var1
172854cd-4265-4be6-ab1a-6f45bd72ee7e,True,Control
9a8848af-f7bf-4b32-a1fe-2676eb5136b2,True,Control
d9688de0-2e4d-455f-929f-54b17b365785,True,Control
44970071-3531-430c-b1c5-f7225998449e,True,Control
4e368fbf-c42d-48b1-903c-84a1b419efb8,False,Var2
c072fab8-6542-4d28-b8d0-9bc203ea3705,True,Control
7e523364-64f1-4c3e-8c1c-8b616b974558,True,Control
cd642e39-1505-47c4-b068-f12c38566d99,False,Var2
769c8550-7ca5-4d3e-b3c1-f27508e064d2,True,Control
2fab1fff-dd02-409f-9af8-9bec067de5ca,True,Control
4599479e-0133-4d60-844e-bab451afbfc1,False,Var1
7f57d928-94a3-4f5f-b91d-9058bcb6c7ec,False,Var2
c921d407-6f8a-4cb2-9949-220cccf3d490,False,Var1
09282aec-1fb5-425e-b8e2-e500748ae1b9,False,Var1
01fe088c-b7ff-4608-858d-3236edad2d0b,False,Var2
4d22e7a8-5fac-4815-8847-60e1079df354,True,Control
f93e71b4-72be-44e6-847f-357e541e0209,False,Var2
94b237f1-0da0-430d-89cb-9cee1a7c19bf,True,Control
b0fe1720-12e8-4101-8815-5dc20eba3905,False,Var2
b56c8e08-b4f5-41cd-9f06-7bd88a5e0ce6,False,Var1
ffcfd04b-6072-4942-b906-0d5b59de0868,True,Control
89db03ce-06d8-4ff3-ae4f-e200c0040f1a,False,Var1
55e0da47-b08a-44a2-b9e7-3ac317864fe5,False,Var2
d607aeff-3487-4867-b974-1081b597c731,False,Var1
36619f6d-2646-4dc8-b787-63232b191623,False,Var2
2b1c2d12-09e9-4520-8203-1c1bc0c4b5b8,True,Control
2ca60628-6a4d-4530-82ec-c28df65c87b2,False,Var2
99dda756-7a85-41ac-9449-418e5a86ed49,True,Control
d427c6d1-e38b-4061-93cc-fbcf2fd18e4d,False,Var2
59c7a267-28da-45df-8561-ef74af62e3e1,False,Var1
0d86106e-dcc3-490c-a5b8-d6a32fd055b3,False,Var1
b5581978-45db-4812-af5e-67e8ec0ada61,True,Control
e8031477-0023-49a8-aa2c-40b043da0124,True,Control
28816852-f7ea-448b-be17-15646e5068f7,True,Control
cf868155-0ee5-4297-b6a5-58a2e298dc0a,True,Control
eae6d359-a2ab-42f8-9154-4df65dceb7c7,False,Var2
0df82cf4-58f6-46d8-8872-acc343b94bd1,True,Control
441dc95a-d33e-4193-9e45-5bf9292ffebd,False,Var1
1d806f4e-bb5f-4f51-83f2-78f36654abbc,False,Var1
6c925708-52a7-4c38-a904-99e7f6155cf8,False,Var1
4e02dcde-9b72-430f-aa6f-77d02dd4489c,False,Var2
1de8052b-02d5-42b2-89b3-7c90fb60937a,True,Control
b5e17201-5153-4644-b324-b1d28796e44a,True,Control
46544b9d-bc55-4d89-9dc7-f4cbbdec9795,False,Var1
9f5338ce-0b7b-4a4a-9122-600801946652,True,Control
ec9bb428-5bd8-4f8d-adcb-9efc8ee4b8e9,False,Var2
ed1f84f3-b9ee-490d-9ae7-8c472bce4af0,True,Control
f661b73d-74b3-49bc-a398-9f844cfbd3b3,True,Control
5bd4d844-4896-45b8-903a-7f2f28f4d383,False,Var2
888fa98d-177a-4c15-a25f-902ecca05454,False,Var2
5f9d8de8-1be7-4674-a5ed-f0447e20f9b9,True,Control
7f42a02a-baa0-4540-9c55-94fdb0370af8,True,Control
e42167a7-4474-483e-b7b9-4721837361cf,False,Var2
364da561-0f81-4e26-bf9b-de28fdb6572a,False,Var2
51b20205-fb78-4131-81a3-0a2df05ab668,True,Control
2af04fd6-f598-41d5-b04a-4c699b8e526f,False,Var2
44572821-9f50-4119-92ee-4e48f34e3742,False,Var1
ae672b2e-f5cc-4956-b076-fe6d01901224,False,Var2
6ba1ba52-ac4f-451d-a819-e8aade7bb285,True,Control
9e7697e4-5bd5-4909-bf2c-be9f9b4891bd,False,Var2
3cabc3df-4762-4e7c-aa60-63e8e6337c95,True,Control
7cb613e3-48cb-4d22-ac44-79bdc9c2498c,False,Var1
bd1aa601-5bbc-4c99-9733-64f4e4833496,False,Var2
9d8d7f7f-bb35-4c3e-8fea-8d42c9f66c58,True,Control
70fdee88-6ac5-4cef-a9a2-3df977379185,True,Control
03bb6e05-2c9d-447f-bd10-a940fbac20f2,True,Control
2ac88899-9587-4fbf-a87a-230eadbea226,False,Var1
346f83c2-48d1-43d1-b2c3-bf799ce09c47,True,Control
fadfc541-9162-48b2-b733-6280ef41f7ab,False,Var2
23f37fe0-8372-4f95-bbdb-20ff009428cb,False,Var2
951cfb31-1d73-407d-8c75-e3ee9cb85a32,True,Control
1f0fc02b-a25e-4267-82f7-a658aab2a6fc,True,Control
2ece5217-d83e-4dc8-b567-2bb143275389,False,Var1
b18145b5-f675-4de4-8afe-7fa8ede2784f,True,Control
1bca7a15-7b18-48f5-aa18-7858d8b6c843,False,Var1
981bf6ab-beab-4480-a61f-4cde3837ee05,False,Var2
cc39fc8d-4047-4b1d-a09f-8d192683dd0c,True,Control
027d591c-91a5-43e0-9ae1-01708de2ff0c,True,Control
31034b7e-fb06-4f88-8c88-0e8d59d3abfe,True,Control
e856c600-308b-4ddf-9a73-fc880f120851,False,Var2
2c2920bb-afc9-410d-9e77-32e1fdd689d2,False,Var2
10b61d02-3e0d-43cd-b12b-1db2eb6ad90e,False,Var2
903cc9da-91a2-4a79-8038-c9c5d765a95e,True,Control
29d546cf-f548-49e8-8a3a-60bda0294cc3,False,Var2
2f810b36-9735-4be9-a4e2-d97aadbef609,True,Control
e285fa78-b20f-4de0-95b9-2f73ef67487b,True,Control
cdd2594b-f4ee-4e0d-b7f6-b7231b95c767,True,Control
5f0e1e3d-03de-4e3f-8be7-e0bb8a678a40,False,Var1
c80424f4-e0ec-4590-9e28-a43175baba9d,True,Control
689325e2-173f-4ea6-a28f-f8b52dcc2830,False,Var2
4196f412-b1f4-4d62-941e-90f4851307b4,False,Var2
3cdfc238-e271-4d00-a1d4-89b637136226,False,Var1
d345c45c-1530-431c-8762-48117fc0c1d0,True,Control
0f564e5d-654f-4cba-8eac-e538b01543ad,False,Var2
63a7d8b8-e51c-42b5-91ea-626a06e1cb8f,True,Control
f4b1baf2-1fb6-4a0f-a535-29819479a0a9,True,Control
d25f71b3-b7c4-4df5-82d1-797945e42480,False,Var2
d9e9c0b7-ee12-4447-9816-b36b2e9ed1ee,True,Control
